OBJECTID,STRATUMA,Shape_Length,Shape_Area,CenterX,CenterY,AreaSQkm
13046,01100,14816.000000003725000,13719616.000006899000000,-69.415644026372703,40.236332976882323,13.719616000006900
13047,01100,14815.999999996275000,13719615.999993101000000,-69.372040862891041,40.235325772586535,13.719615999993101
13048,01100,14815.999999988824000,13719615.999979302000000,-69.328438961374729,40.234302790991116,13.719615999979302
13049,01100,14816.000000003725000,13719616.000006899000000,-69.284838341381914,40.233264032799561,13.719616000006900
13050,01100,14815.999999996275000,13719615.999993101000000,-69.241239022467369,40.232209498726164,13.719615999993101
13051,01100,14815.999999988824000,13719615.999979302000000,-69.197641024182417,40.231139189495970,13.719615999979302
13052,01100,14816.000000003725000,13719616.000006899000000,-69.154044366074686,40.230053105844789,13.719616000006900
13053,01100,13210.704161865275000,9502663.217689603600000,-69.114092877845806,40.233094355612046,9.502663217689603
13054,01110,9737.976538581411700,4216952.782289698700000,-69.102237382409854,40.219615188143592,4.216952782289699
13055,01100,7326.245776855546900,1572391.723292699300000,-69.077655684848182,40.241198115224563,1.572391723292699
13056,01110,13825.723481250156000,12147224.276700402000000,-69.065456992166020,40.226104020404556,12.147224276700401
13057,01110,14816.000000003725000,13719616.000006899000000,-69.023262628237603,40.226700215885103,13.719616000006900
13058,01110,14815.999999988824000,13719615.999979302000000,-68.979671526242896,40.225551042123563,13.719615999979302
13059,01110,14815.999999996275000,13719615.999993101000000,-68.936081862108765,40.224386097781633,13.719615999993101
13060,01110,14816.000000003725000,13719616.000006899000000,-68.892493655360369,40.223205383659668,13.719616000006900
13061,01110,14815.999999988824000,13719615.999979302000000,-68.848906925519074,40.222008900568817,13.719615999979302
13062,01140,11072.739912782610000,6717729.951840972500000,-68.794236716005088,40.221296197768901,6.717729951840973
13063,01110,11226.317648869752000,7001886.048165927600000,-68.815957052187969,40.220319260843496,7.001886048165928
13064,01140,14815.999999996275000,13719615.999993101000000,-68.761737974623117,40.219568630778639,13.719615999993101
13065,01140,14815.999999988824000,13719615.999979302000000,-68.718155792591006,40.218324845755262,13.719615999979302
13066,01140,14816.000000003725000,13719616.000006899000000,-68.674575165510930,40.217065295114871,13.719616000006900
13067,01140,14815.999999988824000,13719615.999979302000000,-68.630996112883821,40.215789979722260,13.719615999979302
13068,01140,14389.707563968332000,11842087.443975011000000,-68.590343310067780,40.214864465317490,11.842087443975011
13069,01150,8091.496520200701500,1877528.556018090800000,-68.568972020910891,40.212195072449234,1.877528556018091
13070,01150,14210.308378959428000,12058616.687721927000000,-68.545597198207076,40.214882327856344,12.058616687721926
13071,01140,2862.609923818647100,292540.567441984370000,-68.481698344039131,40.226236960057840,0.292540567441984
13072,01150,13530.565373310897000,12150117.070606396000000,-68.499182419809898,40.212826153794140,12.150117070606395
13073,01140,11332.174773775518000,6538428.133402699600000,-68.451949720948420,40.218149498876834,6.538428133402699
13074,01150,12082.888153121352000,7181187.866590401200000,-68.461017925623636,40.203594162633017,7.181187866590401
13075,01140,12908.517804188483000,11287714.586053137000000,-68.413587987757353,40.211979922401063,11.287714586053136
13076,01150,10418.265776226124000,2431901.413953761100000,-68.410977472570025,40.196167501538383,2.431901413953761
13077,01140,6828.075462280698000,2230698.985061028000000,-68.383343912017168,40.217869261285351,2.230698985061028
13078,01150,13697.456555238850000,11488917.014918275000000,-68.366878630403718,40.205853777467851,11.488917014918275
13079,01150,11546.704357124905000,6730206.728247001800000,-68.334607095468940,40.211018923920967,6.730206728247002
13080,03120,8331.379134282822600,1574979.760748444600000,-73.979123554408915,40.283102571994995,1.574979760748445
13081,03120,8678.686203953149700,2198822.147989069100000,-73.972091535730911,40.292056762331505,2.198822147989069
13082,03130,13766.804272748801000,11520793.851997133000000,-73.950930438246445,40.287387613569813,11.520793851997134
13083,03130,9363.387281123297700,3545042.316288711500000,-73.926814380405276,40.289617044427011,3.545042316288712
