"FID_1,N,9,0","Id,N,6,0","FID_2,N,9,0","AREA,N,13,11","PERIMETER,N,13,11","AREA_KM2,N,19,11","PERIMETER_,N,19,11","STRATUM,N,14,0","STATION,C,8","LONGITUDE,N,19,11","LATITUDE,N,19,11"
125669,0,5085,25081400,20072,25.081482,20.0720605469,133,251-157,-149.287339488,59.1328882558
125687,0,5086,21836200,18687.6,21.836106,18.6875878906,134,265-156,-148.123177544,59.0853896564
125645,0,5087,14472200,16724.2,14.472104,16.7242460938,133,232-158,-150.843956305,59.1799704507
125849,0,5090,25092300,20049.4,25.092132,20.0493691406,143,389-137,-137.886977643,58.1979439367
125644,0,5092,25100900,20082.1,25.100878,20.082109375,33,231-158,-150.908902627,59.1815281455
125668,0,5094,25239300,20131.3,25.239304,20.1312519531,133,250-157,-149.352106951,59.135221249
125837,0,5095,25200100,19918.6,25.199968,19.9185859375,40,380-139,-138.624969211,58.2913713393
125838,0,5095,25200100,19918.6,25.199968,19.9185859375,40,380-139,-138.563319351,58.2837502686
125686,0,5096,24421600,19430.3,24.421496,19.430234375,133,264-156,-148.187764931,59.0883017204
125642,0,5097,22191700,29032.3,22.191628,29.0323164063,33,230-158,-151.0388129,59.184546428
125643,0,5097,22191700,29032.3,22.191628,29.0323164063,33,230-158,-150.973854867,59.1830534727
125667,0,5100,25081500,20072.1,25.081566,20.0720917969,133,249-157,-149.416883271,59.1375220047
